unnamed_0,prix_min,prix_moy,prix_max,feuille
29/4/2022 au 5/5/2022,3.05,3.323,3.25,Feuil1
30/4/2022au 6/5/2022,3.146,3.212,3.25,Feuil1
3/5/2022au9/5/2022,3.119,3.205,3.25,Feuil1
4/5/2022au10/5/2022,3.099,3.193,3.25,Feuil1
7/5/2022 au 13/5/2022,3.05,3.222,3.299,Feuil1
14/5/2022 au 20/5/2022,3.2,3.247,3.268,Feuil1
17/5/2022 au 23/5/2022,3.05,3.186,3.25,Feuil1
20/5/2022 au 26/5/2022,3.05,3.198,3.25,Feuil1
25/5/2022 au 31/5/2022,3.099,3.184,3.247,Feuil1
31/5/2022 au 6/6/2022,3.098,3.065,3.206,Feuil1
3/6/2022 au 9/6/2022,3.096,3.122,3.169,Feuil1
