date,prix_min,prix_moy,prix_max,feuille
29/4/2022 au5/5/2022,3.246,3.262,3.3,Feuil1
30/4/2022 au 6/5/2022,3.246,3.265,3.3,Feuil1
3/5/2022au9/5/2022,3.246,3.274,3.35,Feuil1
4/5/2022au10/5/2022,3.246,3.29,3.35,Feuil1
7/5/2022 au13/5/2022,3.297,3.299,3.3,Feuil1
14/5/2022 au 20/5/2022,3.248,3.267,3.3,Feuil1
17/5/2022 au 23/5/2022,3.248,3.264,3.279,Feuil1
20/5/2022 au 26/5/2022,3.246,3.27,3.299,Feuil1
25/5/2022 au 31/5/2022,3.179,3.262,3.295,Feuil1
31/5/2022 au 6/6/2022,3.199,3.215,3.25,Feuil1
3/6/2022 au 9/6/2022,3.199,3.199,3.2,Feuil1
