composante,frequence_ar,frequence,source_ar,source,unite_ar,unite,composante_ar,images,feuille
Défonçage,سنويا,ANNUELLE,ديوان الأراضي الدولية,OTD,دينار/هكتار,TND/ha,الحرث العميق بقلب التربة,https://drive.google.com/file/d/1_0mlCJfBrhHTfEs6lGYjq5jEBT1hehEm/view?usp=sharing,Feuil1
Gros labour,سنويا,ANNUELLE,ديوان الأراضي الدولية,OTD,دينار/هكتار,TND/ha,الحرث الكبير,https://drive.google.com/file/d/1-YPV57_jOeBVs8s-YSaBj_yCD3s6fSn0/view?usp=sharing,Feuil1
Croisement,سنويا,ANNUELLE,ديوان الأراضي الدولية,OTD,دينار/هكتار,TND/ha,المعاودة,https://drive.google.com/file/d/11TAxwT9Na-uL45y-CNuQZ68dBjY0KIjl/view?usp=sharing,Feuil1
Roulage,سنويا,ANNUELLE,ديوان الأراضي الدولية,OTD,دينار/هكتار,TND/ha,تقرقيب,https://drive.google.com/file/d/1Lkot-Q2AVgd53L6uHBgCr7cDW28xhbkd/view?usp=sharing,Feuil1
Semis,سنويا,ANNUELLE,ديوان الأراضي الدولية,OTD,دينار/هكتار,TND/ha,البذر,https://drive.google.com/file/d/1cMxqm2Jo3O4AjdUtacwek9dGuQSEgGA7/view?usp=sharing,Feuil1
Moisson,سنويا,ANNUELLE,ديوان الأراضي الدولية,OTD,دينار/هكتار,TND/ha,الحصاد,https://drive.google.com/file/d/1LT_8L1anXlhl-XzFXCaZpY885GyZh58y/view?usp=sharing,Feuil1
Pressage-Fauchage-défanage,سنويا,ANNUELLE,ديوان الأراضي الدولية,OTD,دينار/البالة,TND/balle,حش- كبس و ربط القرت,https://drive.google.com/file/d/1tGuAGJyuGbeKwD94PXccOMfNM2eMofin/view?usp=sharing,Feuil1
Traitement,سنويا,ANNUELLE,ديوان الأراضي الدولية,OTD,دينار/هكتار,TND/ha,المداوات,https://drive.google.com/file/d/1DELVNhl7lYsqo-o9-fKCSvwAgk-Rsge8/view?usp=sharing,Feuil1
Epandage d’engrais,سنويا,ANNUELLE,ديوان الأراضي الدولية,OTD,دينار/هكتار,TND/ha,نثر الاسمدة,https://drive.google.com/file/d/1T0oi7eDaaE3qLvO3dLOesl_npAkceaRg/view?usp=sharing,Feuil1
Défonçage1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/هكتار,TND/ha,الحرث العميق بقلب التربة1,,Feuil1
Gros labour1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/هكتار,TND/ha,الحرث الكبير1,,Feuil1
Croisement1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/هكتار,TND/ha,المعاودة1,,Feuil1
Roulage1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/هكتار,TND/ha,تقرقيب1,,Feuil1
Semis1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/هكتار,TND/ha,البذر1,,Feuil1
Moisson1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/هكتار,TND/ha,الحصاد1,,Feuil1
Traitement1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/هكتار,TND/ha,المداوات1,,Feuil1
Epandage d’engrais1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/هكتار,TND/ha,نثر الاسمدة1,,Feuil1
pressage-Fauchage-défanage1,سنويا,ANNUELLE,المندوبية الجهوية للتنمية الفلاحية بنابل,CRDA Nabeul,دينار/البالة,TND/balle,حش- كبس و ربط القرت1,,Feuil1
