composante,date,datemin,prixmin,prixmax,prix,feuille
Défonçage,2021-09-23,2021-09-23,500.0,600.0,,Feuil1
Gros labour,2021-09-23,2021-09-23,70.0,100.0,,Feuil1
Croisement,2021-09-23,2021-09-23,18.0,25.0,,Feuil1
Roulage,2021-09-23,2021-09-23,10.0,13.0,,Feuil1
Semis,2021-09-23,2021-09-23,21.0,27.0,,Feuil1
Moisson,2021-09-23,2021-09-23,74.0,85.0,,Feuil1
Pressage-Fauchage-défanage,2021-09-23,2021-09-23,1.4,1.6,,Feuil1
Traitement,2021-09-23,2021-09-23,9.0,12.0,,Feuil1
Epandage d’engrais,2021-09-23,2021-09-23,,,10.0,Feuil1
Défonçage1,2021-12-13,2021-12-13,500.0,600.0,,Feuil1
Gros labour1,2021-12-13,2021-12-13,90.0,100.0,,Feuil1
Croisement1,2021-12-13,2021-12-13,55.0,65.0,,Feuil1
Roulage1,2021-12-13,2021-12-13,25.0,30.0,,Feuil1
Semis1,2021-12-13,2021-12-13,50.0,60.0,,Feuil1
Moisson1,2021-12-13,2021-12-13,110.0,120.0,,Feuil1
Traitement1,2021-12-13,2021-12-13,40.0,45.0,,Feuil1
Epandage d’engrais1,2021-12-13,2021-12-13,25.0,30.0,,Feuil1
pressage-Fauchage-défanage1,2021-12-13,2021-12-13,1.8,2.0,,Feuil1
