annee,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Pêche côtière,23578,22662,26430,24705,28577,27734,31812,32066,32347,33847,38253,54558,43286,Feuil1
Pêche au chalut de fond,19636,19875,22133,22618,25643,26839,26873,27252,26611,21246,22563,21753,21943,Feuil1
Pêche au chalut pélagique,780,924,1026,750,396,440,360,289,119,70,0,0,0,Feuil1
Pêche poisson bleu,48988,49067,44208,50863,51439,51833,52480,54487,47378,49855,48453,47592,45439,Feuil1
Pêche aux Thons,2679,2259,1937,1924,1313,1822,1364,1403,1562,2053,2115,2400,2648,Feuil1
Pêche dans les lagunes et aquaculture,4323,5140,5841,7563,9453,12356,11911,14694,16873,22392,22260,24390,24045,Feuil1
Pêche aux coquillages,536,473,433,690,770,1102,1635,1386,1547,734,283,156,44,Feuil1
Pêche des éponges,20,10,10,15,9,11,23,19,35,31,6,10,3,Feuil1
Pêche aux crevettes,30,36,38,27,33,40,46,54,48,53,33,27,20,Feuil1
Pêche corail,8,5,10,5,4,4,8,11,8,8,6,4,2,Feuil1
