annee,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Pêche côtière,145743,146969,142940,139557,154711,133025,154999,167930,213566,239572,254338,304210,397292,492308,409230.0,Feuil1
Pêche au chalut de fond,105160,95564,91448,95320,109438,112552,121816,138763,158647,185226,202778,211270,253005,253538,369133.0,Feuil1
Pêche au chalut pélagique,1249,584,1065,1146,1523,1195,943,891,889,612,326,183,0,0,,Feuil1
Pêche poisson bleu,61850,57891,71830,73508,71125,84654,100748,106072,117688,136241,118778,179949,238925,207862,195418.0,Feuil1
Pêche aux Thons,11629,8840,11073,15233,13099,12426,7196,21332,26239,25650,44204,61595,63450,72000,127125.0,Feuil1
Pêche lagunaire et aquaculture,23961,34835,31650,30774,41281,59552,72899,94576,100906,128356,183502,234084,249126,343456,337869.0,Feuil1
Pêche aux coquillages,1662,2078,1951,1212,1159,2230,2413,3734,6642,7054,10568,10607,9185,4911,1777.0,Feuil1
Pêche des éponges,4007,2079,2746,986,783,2070,1190,1600,3505,2996,5149,4233,1713,4325,1200.0,Feuil1
Pêche aux crevettes,1487,1619,1494,1643,1770,1262,1286,1882,2262,1931,2583,3205,2446,2830,2054.0,Feuil1
Pêche corail,4057,4076,2950,1986,2610,1457,2666,3224,6206,8827,6144,5568,6199,5813,4598.0,Feuil1
Total,360805,354535,359147,361365,397499,410423,466156,540004,636550,736465,828370,1014904,1221341,1387043,1448404.0,Feuil1
