annee,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,feuille
Jendouba-Beja,775,698,709,654,589,648,551,544,640,348,716,687,870,Feuil1
Bizerte,5046,5353,4981,5123,4886,4894,4836,4976,4776,4979,5098,5124,5049,Feuil1
Ariana,720,750,785,982,1000,784,965,960,1000,1043,1043,1160,1080,Feuil1
Tunis et Ben Arous,1221,1213,1208,1752,1933,2216,2184,2371,1966,1775,2118,2412,2139,Feuil1
Nabeul,2578,2692,3159,3257,3375,3472,3278,2999,3006,3372,3280,4647,3726,Feuil1
Sousse,1105,1096,1165,966,1041,1311,1300,1538,907,1247,1320,1370,1385,Feuil1
Monastir,3859,3422,3680,3685,3903,3940,4114,4225,4726,5107,5333,5500,5848,Feuil1
Mahdia,5319,5368,5508,5702,5468,6353,5505,6629,5377,6240,5850,6566,6612,Feuil1
Sfax,16388,17427,18201,18274,17187,15207,14900,15649,15540,15299,14623,13155,13143,Feuil1
Gabes,4681,4410,4729,4289,5227,5327,5541,4864,3973,3152,3023,2803,2823,Feuil1
Médenine,10160,10218,9809,9856,9046,9094,9836,9118,9246,8845,7639,7127,7180,Feuil1
Kef,28,28,28,28,28,28,32,32,32,28,28,44,48,Feuil1
Siliana,20,20,20,20,10,10,12,12,12,22,22,12,12,Feuil1
Zaghouan,36,36,36,36,30,30,26,26,26,34,34,8,8,Feuil1
Kairouan,70,70,70,70,58,58,34,34,34,74,74,6,76,Feuil1
