annee,energie_totale_consommee_pour_les_complexes_million_kwh,energie_consommee_pour_la_desserte_des_clients_million_kwh,energie_consommee_pour_le_transfert_y_compris_station_taref_million_kwh,feuille
2014,69.407802,69.407802,0.0,Feuil1
2015,71.573111,71.573111,0.0,Feuil1
2016,101.85289555319149,73.2808348927819,28.572060660409594,Feuil1
2017,156.8598374468085,44.34446454697129,112.51537289983723,Feuil1
2018,103.855876,42.054441603233066,61.80143439676693,Feuil1
2019,64.967927,56.806794598730676,8.161132401269326,Feuil1
2020,127.644975,64.76056469286458,62.884410307135425,Feuil1
2021,128.3027959292453,57.56229737962313,70.74049854962215,Feuil1
2022,116.300517,42.01544141123839,74.28507558876163,Feuil1
2023,160.405294,32.140502,128.264792,Feuil1
2024,140.703,35.158,105.545,Feuil1
