annee,barrage,latitude,longitude,quantite_deau_produite_par_barrage_million_m3,feuille
2014,Sidi_Salem,36.5907,9.39706,283.76265,Feuil1
2014,Sejnene,37.181,9.47513,94.04958,Feuil1
2014,Joumine,36.9909,9.61373,47.68994,Feuil1
2014,Maleh,37.0359,9.41093,,Feuil1
2014,Nabhana,36.06,9.87235,29.787231,Feuil1
2014,Sidi El Barrak,37.0261,8.93618,10.517263,Feuil1
2014,Barbara,36.7341,8.53173,2.223306,Feuil1
2014,Ziatine,37.1856,9.20109,,Feuil1
2014,Ettine,36.8644,9.62805,,Feuil1
2015,Sidi_Salem,36.5907,9.39706,294.383147,Feuil1
2015,Sejnene,37.181,9.47513,101.98068,Feuil1
2015,Joumine,36.9909,9.61373,49.08287,Feuil1
2015,Maleh,37.0359,9.41093,,Feuil1
2015,Nabhana,36.06,9.87235,27.656911,Feuil1
2015,Sidi El Barrak,37.0261,8.93618,11.835224,Feuil1
2015,Barbara,36.7341,8.53173,2.042553,Feuil1
2015,Ziatine,37.1856,9.20109,,Feuil1
2015,Ettine,36.8644,9.62805,,Feuil1
2016,Sidi_Salem,36.5907,9.39706,316.797981,Feuil1
2016,Sejnene,37.181,9.47513,99.85786,Feuil1
2016,Joumine,36.9909,9.61373,17.15412,Feuil1
2016,Maleh,37.0359,9.41093,,Feuil1
2016,Nabhana,36.06,9.87235,9.421105,Feuil1
2016,Sidi El Barrak,37.0261,8.93618,61.728335,Feuil1
2016,Barbara,36.7341,8.53173,7.491257,Feuil1
2016,Ziatine,37.1856,9.20109,7.248896,Feuil1
2016,Ettine,36.8644,9.62805,,Feuil1
2017,Sidi_Salem,36.5907,9.39706,131.704265,Feuil1
2017,Sejnene,37.181,9.47513,233.51889,Feuil1
2017,Joumine,36.9909,9.61373,0.14197,Feuil1
2017,Maleh,37.0359,9.41093,,Feuil1
2017,Nabhana,36.06,9.87235,11.861792,Feuil1
2017,Sidi El Barrak,37.0261,8.93618,178.984462,Feuil1
2017,Barbara,36.7341,8.53173,14.589394,Feuil1
2017,Ziatine,37.1856,9.20109,14.397134,Feuil1
2017,Ettine,36.8644,9.62805,,Feuil1
2018,Sidi_Salem,36.5907,9.39706,148.717812,Feuil1
2018,Sejnene,37.181,9.47513,200.522701,Feuil1
2018,Joumine,36.9909,9.61373,10.43225,Feuil1
2018,Maleh,37.0359,9.41093,10.215907,Feuil1
2018,Nabhana,36.06,9.87235,5.80627,Feuil1
2018,Sidi El Barrak,37.0261,8.93618,105.031955,Feuil1
2018,Barbara,36.7341,8.53173,6.347756,Feuil1
2018,Ziatine,37.1856,9.20109,7.483396,Feuil1
2018,Ettine,36.8644,9.62805,,Feuil1
2019,Sidi_Salem,36.5907,9.39706,239.240552,Feuil1
2019,Sejnene,37.181,9.47513,117.910778,Feuil1
2019,Joumine,36.9909,9.61373,38.32338,Feuil1
2019,Maleh,37.0359,9.41093,12.016908,Feuil1
2019,Nabhana,36.06,9.87235,16.596947,Feuil1
2019,Sidi El Barrak,37.0261,8.93618,26.720478,Feuil1
2019,Barbara,36.7341,8.53173,0.85308,Feuil1
2019,Ziatine,37.1856,9.20109,2.172087,Feuil1
2019,Ettine,36.8644,9.62805,0.60722,Feuil1
2020,Sidi_Salem,36.5907,9.39706,253.722295,Feuil1
2020,Sejnene,37.181,9.47513,148.779548,Feuil1
2020,Joumine,36.9909,9.61373,17.0697,Feuil1
2020,Maleh,37.0359,9.41093,17.38939,Feuil1
2020,Nabhana,36.06,9.87235,14.407653,Feuil1
2020,Sidi El Barrak,37.0261,8.93618,128.624653,Feuil1
2020,Barbara,36.7341,8.53173,19.596104,Feuil1
2020,Ziatine,37.1856,9.20109,14.354004,Feuil1
2020,Ettine,36.8644,9.62805,10.228892,Feuil1
2021,Sidi_Salem,36.5907,9.39706,215.635902,Feuil1
2021,Sejnene,37.181,9.47513,188.678935,Feuil1
2021,Joumine,36.9909,9.61373,4.210472,Feuil1
2021,Maleh,37.0359,9.41093,14.953232,Feuil1
2021,Nabhana,36.06,9.87235,9.055539,Feuil1
2021,Sidi El Barrak,37.0261,8.93618,125.483906,Feuil1
2021,Barbara,36.7341,8.53173,36.622864,Feuil1
2021,Ziatine,37.1856,9.20109,13.058389,Feuil1
2021,Ettine,36.8644,9.62805,6.43412,Feuil1
2022,Sidi_Salem,36.5907,9.39706,161.471148,Feuil1
2022,Sejnene,37.181,9.47513,205.294316,Feuil1
2022,Joumine,36.9909,9.61373,21.64902,Feuil1
2022,Maleh,37.0359,9.41093,19.68008,Feuil1
2022,Nabhana,36.06,9.87235,12.513336,Feuil1
2022,Sidi El Barrak,37.0261,8.93618,133.187717,Feuil1
