annee,effectif_menages_communal,effectif_menages_non_communal,menages_communal_branche,menages_non_communal_branche,taux_branchement_comm,taux_branchement_non_comm,feuille
2002,1438.6308549037544,684.732565863042,1390.3827316605277,262.70256674061045,0.9664624715375963,0.38365718214307243,Feuil1
2003,1475.015,693.665,1448.1029503669693,273.6971934566789,0.9817547281668113,0.39456682037680857,Feuil1
2004,1516.141,703.7570000000001,1490.282175827027,280.62780608096693,0.9829443144318549,0.3987566817537401,Feuil1
2005,1555.6895142233047,712.0739328264534,1536.8142422339306,291.88733672414276,0.9878669414322061,0.40991156011784735,Feuil1
2006,1599.1134794692484,716.6996169921707,1581.7518507377508,297.1256521055697,0.9891429664283363,0.4145748721794218,Feuil1
2007,1634.2776672561656,727.8055045531755,1618.7861755763083,305.3338563859835,0.9905208937316837,0.4195267203611469,Feuil1
2008,1682.1054677060404,745.5903920661531,1667.7996994920059,319.67119427967447,0.991495320306197,0.4287490794963348,Feuil1
2009,1728.0272969170803,756.2277949810168,1714.2622067107193,329.6541251967136,0.992034217149857,0.4359190807116376,Feuil1
2010,1779.7319219519281,773.4254155811481,1766.8724999999997,343.8659,0.9927745174465238,0.44460124153228253,Feuil1
2011,1825.060756155674,796.0144399615092,1812.8334959596891,357.953,0.993300354437657,0.4496815409746946,Feuil1
2012,1867.1637548771828,732.226468842767,1855.5776944501536,329.0987673364455,0.9937948343326795,0.4494494276566692,Feuil1
2013,1871.7762552459337,795.2314902493084,1862.8216137072159,371.23770022947053,0.995215965843342,0.46682972792373445,Feuil1
2014,1921.5025704906468,818.5958917248184,1912.9406985057067,384.96292950095756,0.9955441787503028,0.4702722471399451,Feuil1
2015,1966.998474715982,839.2819645653773,1960.1802376635062,398.85957437834054,0.9965336846265423,0.47523906293505336,Feuil1
2016,2013.2410739360243,860.3757715932721,2007.0553873379213,413.14380115217244,0.9969274983119584,0.48018995280062243,Feuil1
2017,2060.019307333235,876.3422645420205,2054.871414378032,424.419,0.9975010462587038,0.4843073501901712,Feuil1
2018,2106.5248199469897,892.2304353901526,2101.543162896406,436.03108632731266,0.9976351301425876,0.48869783974209074,Feuil1
2019,2121.184188580213,902.5518958577617,2116.714747857769,443.79590642004604,0.9978929501989946,0.4917123419238669,Feuil1
2020,2151.0150040379654,916.50802060394,2147.008599860552,455.05345770866666,0.998137435503754,0.4965078837049409,Feuil1
2021,2188.7885233587767,935.5812988206917,2184.9666600494343,468.78625457149195,0.9982538910138848,0.5010641567573028,Feuil1
2022,2217.441688869086,948.6005187763062,2213.6107787348305,479.74945489691754,0.9982723739012008,0.505744457651988,Feuil1
2023,2227.4133688527095,952.8865715330674,2223.6352125745816,487.2396942954079,0.99830379204374,0.5113302137435983,Feuil1
