annee,secteur_collectif,consommation_eau_potable_m3_par_an_par_abonne,feuille
2002,collectif Intérieur Tunisie,516.2154931038059,Feuil1
2002,collectif Grand Tunis,555.9575789847355,Feuil1
2002,collectif Ensemble Tunisie,530.8719643909144,Feuil1
2003,collectif Intérieur Tunisie,510.58147533686724,Feuil1
2003,collectif Grand Tunis,549.1327506145861,Feuil1
2003,collectif Ensemble Tunisie,524.9256803109993,Feuil1
2004,collectif Intérieur Tunisie,508.96105095603986,Feuil1
2004,collectif Grand Tunis,558.4663444148501,Feuil1
2004,collectif Ensemble Tunisie,527.4794090875545,Feuil1
2005,collectif Intérieur Tunisie,503.91351186737467,Feuil1
2005,collectif Grand Tunis,543.492758267111,Feuil1
2005,collectif Ensemble Tunisie,518.662567017326,Feuil1
2006,collectif Intérieur Tunisie,487.2226206896551,Feuil1
2006,collectif Grand Tunis,498.89763931414575,Feuil1
2006,collectif Ensemble Tunisie,491.6036870224622,Feuil1
2007,collectif Intérieur Tunisie,467.94512063377744,Feuil1
2007,collectif Grand Tunis,490.374832504541,Feuil1
2007,collectif Ensemble Tunisie,476.3970018962558,Feuil1
2008,collectif Intérieur Tunisie,458.8744491458469,Feuil1
2008,collectif Grand Tunis,478.93479521986313,Feuil1
2008,collectif Ensemble Tunisie,466.4384631369418,Feuil1
2009,collectif Intérieur Tunisie,452.8384156787501,Feuil1
2009,collectif Grand Tunis,488.0820790348949,Feuil1
2009,collectif Ensemble Tunisie,466.16153436334577,Feuil1
2010,collectif Intérieur Tunisie,451.8296246760846,Feuil1
2010,collectif Grand Tunis,472.9301121890413,Feuil1
2010,collectif Ensemble Tunisie,459.88043467022345,Feuil1
2011,collectif Intérieur Tunisie,454.11815561959656,Feuil1
2011,collectif Grand Tunis,459.5089979013641,Feuil1
2011,collectif Ensemble Tunisie,456.1898842648601,Feuil1
2012,collectif Intérieur Tunisie,450.04830504368607,Feuil1
2012,collectif Grand Tunis,453.8529561154002,Feuil1
2012,collectif Ensemble Tunisie,451.527271829804,Feuil1
2013,collectif Intérieur Tunisie,419.4142485958334,Feuil1
2013,collectif Grand Tunis,452.3080324977018,Feuil1
2013,collectif Ensemble Tunisie,432.0808824936377,Feuil1
2014,collectif Intérieur Tunisie,416.8136179328284,Feuil1
2014,collectif Grand Tunis,438.15385168841146,Feuil1
2014,collectif Ensemble Tunisie,425.12556631885735,Feuil1
2015,collectif Intérieur Tunisie,424.9940535435904,Feuil1
2015,collectif Grand Tunis,412.666267577529,Feuil1
2015,collectif Ensemble Tunisie,420.1899962491652,Feuil1
2016,collectif Intérieur Tunisie,413.5234898145154,Feuil1
2016,collectif Grand Tunis,421.99722626724923,Feuil1
2016,collectif Ensemble Tunisie,416.8172541127214,Feuil1
2017,collectif Intérieur Tunisie,418.6561243826806,Feuil1
2017,collectif Grand Tunis,409.92765484719325,Feuil1
2017,collectif Ensemble Tunisie,415.2719665271966,Feuil1
2018,collectif Intérieur Tunisie,397.1688708759954,Feuil1
2018,collectif Grand Tunis,404.79508564254326,Feuil1
2018,collectif Ensemble Tunisie,400.12873725244503,Feuil1
2019,collectif Intérieur Tunisie,411.0,Feuil1
2019,collectif Grand Tunis,425.0,Feuil1
2019,collectif Ensemble Tunisie,417.0,Feuil1
2020,collectif Intérieur Tunisie,377.73711347255846,Feuil1
2020,collectif Grand Tunis,382.77858964935797,Feuil1
2020,collectif Ensemble Tunisie,379.69066068003053,Feuil1
2021,collectif Intérieur Tunisie,381.82867007502824,Feuil1
2021,collectif Grand Tunis,403.70330360507484,Feuil1
2021,collectif Ensemble Tunisie,390.31859658246054,Feuil1
2022,collectif Intérieur Tunisie,389.67495974653303,Feuil1
2022,collectif Grand Tunis,386.68259923308125,Feuil1
2022,collectif Ensemble Tunisie,388.52239794981523,Feuil1
2023,collectif Intérieur Tunisie,365.44429531885004,Feuil1
2023,collectif Grand Tunis,339.90331995622034,Feuil1
2023,collectif Ensemble Tunisie,355.6804559049139,Feuil1
2024,collectif Intérieur Tunisie,355.1697769909764,Feuil1
2024,collectif Grand Tunis,351.41559867449195,Feuil1
2024,collectif Ensemble Tunisie,353.7389527983201,Feuil1
