annee,adduction,distribution,branchement,feuille
2002,456,2986,70138,Feuil1
2003,467,3410,78083,Feuil1
2004,415,5302,82225,Feuil1
2005,348,4153,85177,Feuil1
2006,399,4798,90290,Feuil1
2007,419,5492,101679,Feuil1
2008,312,4915,120915,Feuil1
2009,398,4931,130536,Feuil1
2010,589,5902,141242,Feuil1
2011,439,7082,138722,Feuil1
2012,498,7252,151791,Feuil1
2013,491,6986,168494,Feuil1
2014,424,6569,180497,Feuil1
2015,351,7658,189783,Feuil1
2016,510,8076,203737,Feuil1
2017,514,8669,214472,Feuil1
2018,703,9863,205542,Feuil1
2019,420,12311,188113,Feuil1
2020,1597,12089,181029,Feuil1
