district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,103163,22,1652,784,369,2805,370,15,19,Feuil1
M. Bourguiba,41355,9,1038,336,172,1546,161,1,15,Feuil1
Jendouba,73991,35,1565,834,364,2763,439,43,24,Feuil1
Le Kef,47487,50,1044,604,303,1951,58,16,27,Feuil1
Siliana,38344,42,827,460,253,1540,131,4,16,Feuil1
Beja,61764,63,1290,780,364,2434,235,8,46,Feuil1
Nabeul,111758,17,3634,1350,327,5311,1423,488,56,Feuil1
M. Temime,51286,18,710,339,220,1269,163,26,20,Feuil1
Grombalia,51271,12,1243,424,180,1847,329,5,11,Feuil1
Zaghouan,33513,16,802,354,318,1474,471,2,18,Feuil1
Sousse,137786,23,2844,1236,528,4608,626,67,71,Feuil1
H. Sousse,85176,13,1202,446,246,1894,543,45,30,Feuil1
Moknine,76805,0,669,459,322,1450,901,1,5,Feuil1
Monastir,92438,3,2084,1119,400,3603,1502,47,26,Feuil1
Mahdia,111242,48,2629,859,452,3940,430,41,36,Feuil1
Kairouan,86394,17,1657,1057,513,3227,230,7,25,Feuil1
Kasserine,57666,12,947,662,263,1872,176,10,15,Feuil1
Sfax,93012,1,2659,1018,714,4391,1077,49,44,Feuil1
Sfax Nord,99046,25,1178,394,286,1858,609,0,24,Feuil1
Sfax Sud,77732,50,532,426,282,1240,589,3,48,Feuil1
Gafsa,74208,23,562,657,336,1555,63,11,3,Feuil1
Tozeur,31315,1,634,357,282,1273,78,41,13,Feuil1
Sidi Bouzid,46331,17,2783,705,279,3767,93,3,21,Feuil1
Gabes,99164,55,1211,1000,556,2767,263,28,23,Feuil1
Kebili,38150,0,692,453,300,1445,52,19,8,Feuil1
Medenine,77999,87,2260,865,448,3573,195,37,27,Feuil1
Jerba,61413,3,2363,422,357,3142,106,248,22,Feuil1
Tataouine,38322,80,448,415,248,1111,67,17,3,Feuil1
Tunis,57561,2,6235,8788,409,15432,364,72,75,Feuil1
La Marsa,92768,0,4361,2528,327,7216,238,42,182,Feuil1
Bardo,81207,6,2959,473,207,3639,185,0,41,Feuil1
Tunis Sud,48139,0,986,320,228,1534,118,9,22,Feuil1
El Manar,42949,0,964,426,156,1546,20,3,52,Feuil1
Ariana,109184,15,1712,791,267,2770,461,0,127,Feuil1
Ben arous,89302,5,1969,357,227,2553,890,0,104,Feuil1
Ezzahra,86381,8,3043,562,442,4047,561,4,55,Feuil1
El Omrane Supérieur,57702,2,1583,273,131,1987,253,0,3,Feuil1
Manouba,89279,49,2248,811,325,3384,468,0,55,Feuil1
