district,domestique_branche,domestique_non_branche,commerce,administration,municipal,total,industrie,tourisme,divers,feuille
Bizerte,81262,24,1358,678,352,2388,367,17,15,Feuil1
M. Bourguiba,31739,6,641,331,153,1125,145,1,14,Feuil1
Jendouba,56152,34,1201,801,367,2369,316,47,17,Feuil1
Le Kef,38546,38,905,599,293,1797,54,10,19,Feuil1
Siliana,30557,42,730,440,260,1430,70,4,11,Feuil1
Beja,48613,53,1014,777,333,2124,191,7,59,Feuil1
Nabeul,84542,15,3045,1081,303,4429,1408,515,54,Feuil1
M. Temime,38993,20,680,339,202,1221,172,22,8,Feuil1
Grombalia,38330,14,1219,408,181,1808,291,5,14,Feuil1
Zaghouan,26050,10,620,338,275,1233,422,0,12,Feuil1
Sousse,108761,17,2045,1229,476,3750,620,74,56,Feuil1
H. Sousse,62940,12,794,429,242,1465,500,45,35,Feuil1
Moknine,59662,1,555,465,306,1326,753,0,2,Feuil1
Monastir,72304,3,1712,1038,405,3155,1225,51,17,Feuil1
Mahdia,83242,99,1868,870,461,3199,402,40,25,Feuil1
Kairouan,66251,20,1196,843,455,2494,192,7,12,Feuil1
Kasserine,41698,19,740,624,271,1635,164,9,8,Feuil1
Sfax,77152,1,2504,1050,848,4402,1109,37,44,Feuil1
Sfax Nord,72777,39,784,403,297,1484,620,0,19,Feuil1
Sfax Sud,58309,61,466,373,247,1086,518,4,56,Feuil1
Gafsa,61497,38,570,668,363,1601,75,15,5,Feuil1
Tozeur,24084,3,502,348,232,1082,48,54,6,Feuil1
Sidi Bouzid,34984,22,1129,694,291,2114,106,3,20,Feuil1
Gabes,74325,89,978,945,520,2443,228,31,23,Feuil1
Kebili,29895,0,426,430,212,1068,43,22,4,Feuil1
Medenine,56024,92,1331,791,372,2494,195,39,13,Feuil1
Jerba,44238,2,1913,411,329,2653,109,243,18,Feuil1
Tataouine,28614,58,334,419,244,997,58,14,6,Feuil1
Tunis,52459,6,5757,6961,421,13139,378,81,92,Feuil1
La Marsa,67121,1,3087,1496,335,4918,238,41,247,Feuil1
Bardo,65740,7,2525,411,158,3094,142,0,25,Feuil1
Tunis Sud,43865,0,943,343,238,1524,121,10,14,Feuil1
El Manar,33773,0,828,404,154,1386,18,2,56,Feuil1
Ariana,72271,10,1538,749,223,2510,461,0,84,Feuil1
Ben arous,68135,4,999,341,386,1726,599,0,70,Feuil1
Ezzahra,64930,7,2098,508,436,3042,483,8,54,Feuil1
El Omrane Supérieur,46274,6,1208,275,117,1600,230,0,5,Feuil1
Manouba,68678,43,1634,635,270,2539,456,0,24,Feuil1
