annee_trimestre,domestique_branche,domestique_non_branche,commerce,administration,municipal,industrie,tourisme,divers,feuille
2002 - 1T,1551893,925,38178,25663,11008,11293,1387,1167,Feuil1
2002 - 2T,1573926,922,38622,25819,11018,11362,1403,1204,Feuil1
2002 - 3T,1595554,926,38840,25911,11003,11419,1433,1217,Feuil1
2002 - 4T,1614928,923,39289,26055,11041,11543,1434,1224,Feuil1
2003 - 1T,1630702,912,39769,26295,11059,11606,1438,1283,Feuil1
2003 - 2T,1647364,907,40088,26414,11121,11573,1453,1280,Feuil1
2003 - 3T,1665468,909,40423,26457,11171,11586,1429,1313,Feuil1
2003 - 4T,1683723,953,40890,26624,11200,11762,1437,1319,Feuil1
2004 - 1T,1696787,943,41210,26744,11262,11864,1419,1144,Feuil1
2004 - 2T,1713580,945,41723,26836,11322,11904,1445,1068,Feuil1
2004 - 3T,1730562,968,42051,26990,11362,11897,1433,1057,Feuil1
2004 - 4T,1748943,963,42630,27243,11425,11981,1434,1060,Feuil1
2005 - 1T,1763250,948,43069,27353,11442,12049,1439,1078,Feuil1
2005 - 2T,1779827,943,43449,27390,11479,12049,1416,1103,Feuil1
2005 - 3T,1799747,940,43813,27452,11559,12093,1430,1094,Feuil1
2005 - 4T,1818221,930,44413,27736,11598,12243,1436,1100,Feuil1
2006 - 1T,1832779,954,44801,27957,12057,12318,1419,1061,Feuil1
2006 - 2T,1846950,948,45363,28216,12042,12296,1416,1078,Feuil1
2006 - 3T,1865417,952,45912,28352,12079,12331,1430,1095,Feuil1
2006 - 4T,1884577,951,46483,28550,12002,12501,1415,1116,Feuil1
2007 - 1T,1903133,956,47013,28801,11744,12680,1433,1140,Feuil1
2007 - 2T,1920897,936,47342,28907,11720,12716,1438,1150,Feuil1
2007 - 3T,1941965,941,47705,29014,11712,12793,1455,1162,Feuil1
2007 - 4T,1961511,944,48205,29157,11761,12941,1453,1188,Feuil1
2008 - 1T,1979797,942,48655,29260,11767,13073,1471,1202,Feuil1
2008 - 2T,1997426,940,48980,29308,11794,13086,1484,1233,Feuil1
2008 - 3T,2019892,932,49481,29492,11826,13164,1483,1218,Feuil1
2008 - 4T,2040392,931,49978,29619,11836,13261,1486,1243,Feuil1
2009 - 1T,2058008,922,50473,29729,11827,13385,1472,1237,Feuil1
2009 - 2T,2074118,920,50787,29785,11883,13377,1508,1230,Feuil1
2009 - 3T,2093636,917,51198,29822,11962,13407,1507,1237,Feuil1
2009 - 4T,2114787,916,51877,29945,12028,13527,1458,1263,Feuil1
2010 - 1T,2133009,919,52400,30227,12039,13679,1460,1291,Feuil1
2010 - 2T,2150772,908,52772,30484,12052,13744,1474,1330,Feuil1
2010 - 3T,2170429,901,53349,30649,12070,13824,1469,1337,Feuil1
2010 - 4T,2189809,897,53813,30777,12127,13950,1465,1404,Feuil1
2011 - 1T,2208159,886,54363,30945,12157,14013,1457,1408,Feuil1
2011 - 2T,2225527,890,54687,30910,12168,14020,1458,1410,Feuil1
2011 - 3T,2247985,903,55305,31069,12193,14082,1471,1398,Feuil1
2011 - 4T,2269247,908,55694,31283,12215,14132,1466,1373,Feuil1
2012 - 1T,2290886,907,56184,31350,12222,14141,1458,1363,Feuil1
2012 - 2T,2312265,909,56646,31401,12245,14227,1452,1366,Feuil1
2012 - 3T,2332353,906,57139,31578,12292,14254,1448,1355,Feuil1
2012 - 4T,2342723,903,57421,31636,12238,14258,1445,1371,Feuil1
2013 - 1T,2375280,899,58189,31882,12303,14375,1446,1364,Feuil1
