annee,gouvernorat,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,feuille,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13
2019.0,Bizerte,1552.737,1440.607,1573.625,1616.858,1734.005,1879.846,2355.176,2310.526,1923.263,1857.119,1708.835,1686.069,Feuil1,,,,,,,,,,,,,
2019.0,Ml Bourguiba,513.466,490.434,522.313,542.433,603.065,648.535,751.059,752.852,706.073,678.576,626.282,614.035,Feuil1,,,,,,,,,,,,,
2019.0,Jendouba,955.442,868.963,951.742,1039.833,1101.214,1183.957,1497.344,1520.124,1405.522,1290.318,1249.067,1277.234,Feuil1,,,,,,,,,,,,,
2019.0,Le Kef,601.575,581.488,648.29,659.008,720.73,779.173,864.011,928.833,891.754,834.642,719.463,735.921,Feuil1,,,,,,,,,,,,,
2019.0,Siliana,571.038,529.332,567.788,612.893,587.071,664.912,858.534,818.156,745.349,598.084,554.258,564.646,Feuil1,,,,,,,,,,,,,
2019.0,Beja,860.768,800.612,913.971,940.477,1051.02,1348.009,1329.413,1339.538,1331.597,1052.475,966.145,842.916,Feuil1,,,,,,,,,,,,,
2019.0,Nabeul,1664.263,1609.236,1832.588,1862.728,1995.917,2302.3,2887.546,2946.245,2338.816,1875.561,1638.707,1710.503,Feuil1,,,,,,,,,,,,,
2019.0,Ml Temime,725.4,686.528,770.125,721.658,749.606,801.027,966.986,958.15,838.73,810.497,741.574,707.155,Feuil1,,,,,,,,,,,,,
2019.0,Grombalia,743.5,740.8,825.2,944.8,1008.718,1099.683,1146.091,1284.536,1047.721,963.16,884.729,900.606,Feuil1,,,,,,,,,,,,,
2019.0,Zaghouan,571.356,566.636,574.473,588.502,720.713,750.043,981.359,1034.909,862.074,922.685,689.686,632.773,Feuil1,,,,,,,,,,,,,
2019.0,Grand Sousse,3127.544,3072.328,3230.884,3235.441,3564.674,3923.138,4350.987,4062.357,3557.416,3521.694,3475.893,3425.846,Feuil1,,,,,,,,,,,,,
2019.0,Moknine,1046.084,985.689,1160.931,1133.567,1229.427,1339.147,1300.193,1263.012,1195.893,1162.086,1041.365,1049.378,Feuil1,,,,,,,,,,,,,
2019.0,Monastir,1380.694,1276.563,1465.936,1507.358,1688.465,1927.563,2230.365,2176.841,1840.283,1712.896,1481.621,1507.704,Feuil1,,,,,,,,,,,,,
2019.0,Mahdia,1699.766,1508.321,1715.372,1812.381,2298.588,2673.205,2945.632,2497.12,2035.689,1940.394,1831.949,1852.657,Feuil1,,,,,,,,,,,,,
2019.0,Kairouan,1653.723,1538.142,1733.89,1662.12,1761.211,1968.313,2158.528,2201.642,1964.363,1552.369,1512.357,1450.698,Feuil1,,,,,,,,,,,,,
2019.0,Kasserine,1035.305,1039.102,1178.75,1111.666,1168.862,1202.578,1205.647,1012.547,987.524,835.147,751.321,801.235,Feuil1,,,,,,,,,,,,,
2019.0,Grand Sfax,4506.684,4297.98,4825.697,4708.012,5025.014,5164.211,5427.043,5354.019,5100.274,5186.012,4846.834,4855.413,Feuil1,,,,,,,,,,,,,
2019.0,Gafsa,1316.2,1283.6,1347.35,1620.0,1755.0,1887.0,1911.4,1929.6,1877.5,1835.56,1643.3,1499.8,Feuil1,,,,,,,,,,,,,
2019.0,Tozeur,510.444,465.352,542.836,532.09,612.242,664.685,738.399,747.483,707.886,528.622,491.747,477.89,Feuil1,,,,,,,,,,,,,
2019.0,Sidi Bouzid,1057.851,990.097,1139.387,1089.911,1199.478,1356.763,1505.272,1495.919,1291.384,1239.34,1112.796,1085.587,Feuil1,,,,,,,,,,,,,
2019.0,Gabes,2450.89,2396.914,2587.878,2474.116,2630.08,2592.151,2725.513,2825.542,2642.948,2530.642,2317.35,2382.986,Feuil1,,,,,,,,,,,,,
2019.0,Kebili,734.555,658.938,758.971,787.765,857.57,912.992,1017.922,1038.928,943.39,887.208,802.164,790.678,Feuil1,,,,,,,,,,,,,
2019.0,Medenine,1887.425,1695.329,1917.432,1872.649,1981.132,1950.79,2150.761,2165.232,2068.639,2062.569,2059.979,1995.746,Feuil1,,,,,,,,,,,,,
2019.0,Jerba,1349.663,1224.672,1482.915,1576.909,1746.782,1984.127,2364.779,2344.653,2071.894,1736.521,1471.809,1533.281,Feuil1,,,,,,,,,,,,,
2019.0,Tataouine,916.885,846.797,919.986,984.994,1112.499,1024.704,1159.191,1121.319,1016.247,980.244,880.5,830.68,Feuil1,,,,,,,,,,,,,
2019.0,Coefficient de pointe mensuelle,0.882582909510303,0.8182451172793082,0.9012821485170522,0.9342075773853333,1.0123993136616958,1.0734102713037779,1.205059057756277,1.206962555897356,1.0656895493623184,1.018545420413357,0.9406209803259215,0.9409950985872992,Feuil1,,,,,,,,,,,,,
2020.0,Bizerte,1513.812,1413.007,1567.54,1541.685,1703.417,1827.222,2330.195,2317.404,1935.108,1838.132,1699.705,1659.775,Feuil1,,,,,,,,,,,,,
2020.0,Ml Bourguiba,582.701,577.674,592.167,590.168,652.435,699.432,806.882,808.712,760.558,733.642,678.314,667.304,Feuil1,,,,,,,,,,,,,
2020.0,Jendouba,1021.962,947.025,1027.111,1091.374,1142.368,1228.496,1580.552,1585.31,1479.308,1362.659,1282.681,1296.649,Feuil1,,,,,,,,,,,,,
2020.0,Le Kef,624.024,604.845,664.728,661.272,722.334,785.964,868.603,931.732,895.828,848.157,731.79,750.879,Feuil1,,,,,,,,,,,,,
2020.0,Siliana,613.905,620.488,639.961,648.206,722.098,751.891,830.094,802.047,757.398,621.503,573.513,578.519,Feuil1,,,,,,,,,,,,,
2020.0,Beja,877.983,824.63,959.669,949.881,1061.53,1361.489,1306.112,1310.65,1310.14,1030.475,944.145,818.916,Feuil1,,,,,,,,,,,,,
2020.0,Nabeul,1643.545,1598.347,1830.666,1837.54,2098.042,2303.257,2573.899,2563.353,2020.891,1996.55,1633.361,1694.01,Feuil1,,,,,,,,,,,,,
2020.0,Ml Temime,748.807,692.905,766.688,732.922,767.273,814.778,963.473,966.273,870.52,826.991,733.146,730.599,Feuil1,,,,,,,,,,,,,
2020.0,Grombalia,987.027,802.903,878.477,929.997,1012.164,1079.091,1198.939,1223.879,1040.918,970.63,930.017,930.075,Feuil1,,,,,,,,,,,,,
2020.0,Zaghouan,645.122,635.638,660.371,598.136,735.111,747.545,784.857,803.524,747.023,712.14,706.948,681.58,Feuil1,,,,,,,,,,,,,
2020.0,Grand Sousse,3177.652,3112.354,3245.278,3305.624,3670.125,3820.578,4212.354,4003.596,3489.712,3402.654,3500.369,3314.568,Feuil1,,,,,,,,,,,,,
2020.0,Moknine,1126.036,998.654,1203.567,1205.647,1352.587,1406.817,1203.478,1202.145,1101.458,1182.654,1125.478,1250.367,Feuil1,,,,,,,,,,,,,
2020.0,Monastir,1390.985,1358.398,1430.749,1404.001,1647.13,1760.927,2033.423,2102.441,1802.657,1757.499,1494.151,1476.21,Feuil1,,,,,,,,,,,,,
2020.0,Mahdia,1812.362,1628.398,1830.258,1780.658,2200.658,2286.159,2793.571,2836.426,2332.886,2203.629,1921.911,1921.287,Feuil1,,,,,,,,,,,,,
2020.0,Kairouan,1729.941,1686.33,1855.785,1841.632,2030.157,2028.203,2106.465,2093.776,1852.033,1513.632,1641.055,1621.196,Feuil1,,,,,,,,,,,,,
2020.0,Kasserine,965.234,982.365,1089.542,1101.357,1185.324,1210.369,1215.365,1113.365,942.687,894.261,917.145,895.692,Feuil1,,,,,,,,,,,,,
2020.0,Grand Sfax,4759.792,4682.964,5074.382,5046.417,5347.389,5429.782,5784.34,5702.541,5308.558,5458.741,5117.498,5213.894,Feuil1,,,,,,,,,,,,,
2020.0,Gafsa,1472.6,1441.8,1516.4,1680.3,1894.4,2154.2,2262.0,2338.5,2241.4,2020.2,1783.7,1591.2,Feuil1,,,,,,,,,,,,,
