_id,Campagne agricole,Culture,Superficie_irriguee_hectares,Production_irriguee_tonnes
1,2017/2018,البطاطا,1,17
2,2017/2018,الطماطم الفصلية,3,120
3,2017/2018,الفلفل,1.5,12
4,2017/2018,الدلاع,0,0
5,2017/2018,البطيخ,0.25,5.5
6,2017/2018,الفقوس,4,72
7,2017/2018,القرع,1,10
8,2017/2018,البصل,4,80
9,2017/2018,الباذنجان,0,0
10,2017/2018,المعدنوس,4,40
11,2017/2018,السلق,2,24
12,2017/2018,الكلافس,1,10
13,2017/2018,السبناخ,2,10
14,2017/2018,الخص,2,20
15,2017/2018,السفنارية,1,10
16,2017/2018,القناوية,20,40
17,2017/2018,مختلفات,5,50
18,2019/2019,البطاطا,1,18
19,2019/2019,الطماطم الفصلية,5,200
20,2019/2019,الفلفل,1,8
21,2019/2019,الدلاع,0,0
22,2019/2019,البطيخ,"0,5",10
23,2019/2019,الفقوس,2,36
24,2019/2019,القرع,2,20
25,2019/2019,البصل,4,80
26,2019/2019,الباذنجان,0,0
27,2019/2019,المعدنوس,3,30
28,2019/2019,السلق,3,36
29,2019/2019,الكلافس,3,30
30,2019/2019,السبناخ,3,30
31,2019/2019,الخص,3,30
32,2019/2019,السفنارية,2,20
33,2019/2019,القناوية,20,40
34,2019/2019,مختلفات,1,10
35,2019/2020,البطاطا,0,0
36,2019/2020,الطماطم الفصلية,4,160
37,2019/2020,الفلفل,3,24
38,2019/2020,الدلاع,"0,5",10
39,2019/2020,البطيخ,1,20
40,2019/2020,الفقوس,2,36
41,2019/2020,القرع,1,30
42,2019/2020,البصل,2,40
43,2019/2020,الباذنجان,"0,5",15
44,2019/2020,المعدنوس,4,40
45,2019/2020,السلق,3,36
46,2019/2020,الكلافس,2,20
47,2019/2020,السبناخ,2,20
48,2019/2020,الخص,2,20
49,2019/2020,السفنارية,2,20
50,2019/2020,القناوية,18,36
51,2019/2020,مختلفات,5,50
52,2020/2021,البطاطا,"0,5",9
53,2020/2021,الطماطم الفصلية,1,40
54,2020/2021,الفلفل,1,8
55,2020/2021,الدلاع,1,20
56,2020/2021,البطيخ,"0,5",10
57,2020/2021,الفقوس,1,18
58,2020/2021,القرع,0,0
59,2020/2021,البصل,3,60
60,2020/2021,الباذنجان,0,0
61,2020/2021,المعدنوس,3,30
62,2020/2021,السلق,1,10
63,2020/2021,الكلافس,2,20
64,2020/2021,السبناخ,1,10
65,2020/2021,الخص,1,10
66,2020/2021,السفنارية,2,20
67,2020/2021,القناوية,15,30
68,2020/2021,مختلفات,4,40
69,2021/2022,البطاطا,2,36
70,2021/2022,الطماطم الفصلية,2,80
71,2021/2022,الفلفل,2,16
72,2021/2022,الدلاع,1,20
73,2021/2022,البطيخ,1,20
74,2021/2022,الفقوس,1,18
75,2021/2022,القرع,0,0
76,2021/2022,البصل,3,60
77,2021/2022,الباذنجان,"0,5",10
78,2021/2022,المعدنوس,3,30
79,2021/2022,السلق,1,10
80,2021/2022,الكلافس,2,20
81,2021/2022,السبناخ,1,10
82,2021/2022,الخص,1,10
83,2021/2022,السفنارية,2,20
84,2021/2022,القناوية,15,30
85,2021/2022,مختلفات,4,40
86,2022/2023,البطاطا,0,0
87,2022/2023,الطماطم الفصلية,0,0
88,2022/2023,الفلفل,1,8
89,2022/2023,الدلاع,"0,5",10
90,2022/2023,البطيخ,1,20
91,2022/2023,الفقوس,1,18
92,2022/2023,القرع,1,10
93,2022/2023,البصل,2,40
94,2022/2023,الباذنجان,0,0
95,2022/2023,المعدنوس,2,20
96,2022/2023,السلق,2,20
97,2022/2023,الكلافس,2,20
98,2022/2023,السبناخ,2,20
99,2022/2023,الخص,2,30
100,2022/2023,السفنارية,2,20
101,2022/2023,القناوية,10,20
102,2022/2023,مختلفات,2,20
